t,x,y,z
6.460000000000000853e+01,4.223143228725588187e+02,3.290749526772355011e+02,1.744056399510623478e+01
6.470000000000000284e+01,4.226537928870491783e+02,3.294420456408004156e+02,1.743887125680383576e+01
6.479999999999999716e+01,4.229932629015396515e+02,3.298091386043653870e+02,1.743717851850143674e+01
6.490000000000000568e+01,4.233327329160300678e+02,3.301762315679303015e+02,1.743548578019903772e+01
6.500000000000000000e+01,4.236722029305205410e+02,3.305433245314952728e+02,1.743379304189663870e+01
6.510000000000000853e+01,4.240116729450110142e+02,3.309104174950602442e+02,1.743210030359423968e+01
6.520000000000000284e+01,4.243511429595014306e+02,3.312775104586251587e+02,1.743040756529184065e+01
6.529999999999999716e+01,4.246906129739918470e+02,3.316446034221901300e+02,1.742871482698944163e+01
6.540000000000000568e+01,4.250300829884823202e+02,3.320116963857550445e+02,1.742702208868704261e+01
6.550000000000000000e+01,4.253695530029727365e+02,3.323787893493200158e+02,1.742532935038464004e+01
6.560000000000000853e+01,4.257090230174632097e+02,3.327458823128849872e+02,1.742363661208224102e+01
6.570000000000000284e+01,4.260484930319536261e+02,3.331129752764499017e+02,1.742194387377984199e+01
6.579999999999999716e+01,4.263879630464440424e+02,3.334800682400148730e+02,1.742025113547744297e+01
6.590000000000000568e+01,4.267274330609345157e+02,3.338471612035798444e+02,1.741855839717504395e+01
6.600000000000000000e+01,4.270669030754249320e+02,3.342142541671447589e+02,1.741686565887264493e+01
6.610000000000000853e+01,4.274063730899154052e+02,3.345813471307097871e+02,1.741517292057024591e+01
6.620000000000000284e+01,4.277458431044058216e+02,3.349484400942747016e+02,1.741348018226784689e+01
6.629999999999999716e+01,4.280853131188962948e+02,3.353155330578396160e+02,1.741178744396544786e+01
6.640000000000000568e+01,4.284247831333867111e+02,3.356826260214045874e+02,1.741009470566304884e+01
6.650000000000000000e+01,4.287642531478771843e+02,3.360497189849695587e+02,1.740840196736064982e+01
6.660000000000000853e+01,4.291037231623676576e+02,3.364168119485345301e+02,1.740670922905825080e+01
6.670000000000000284e+01,4.294431931768580739e+02,3.367839049120994446e+02,1.740501649075585178e+01
6.679999999999999716e+01,4.297826631913484903e+02,3.371509978756643591e+02,1.740332375245345276e+01
6.690000000000000568e+01,4.301221332058389635e+02,3.375180908392293304e+02,1.740163101415105373e+01
6.700000000000000000e+01,4.304616032203293798e+02,3.378851838027943018e+02,1.739993827584865471e+01
6.710000000000000853e+01,4.308010732348198530e+02,3.382522767663592731e+02,1.739824553754625569e+01
6.720000000000000284e+01,4.311405432493102694e+02,3.386193697299241876e+02,1.739655279924385667e+01
6.729999999999999716e+01,4.314800132638006858e+02,3.389864626934891589e+02,1.739486006094145765e+01
6.740000000000000568e+01,4.318194832782911590e+02,3.393535556570540734e+02,1.739316732263905863e+01
6.750000000000000000e+01,4.321589532927815753e+02,3.397206486206190448e+02,1.739147458433665960e+01
6.760000000000000853e+01,4.324984233072720485e+02,3.400877415841840161e+02,1.738978184603426058e+01
6.770000000000000284e+01,4.328378933217624649e+02,3.404548345477489306e+02,1.738808910773186156e+01
6.779999999999999716e+01,4.331773633362529381e+02,3.408219275113139020e+02,1.738639636942946254e+01
6.790000000000000568e+01,4.335168333507433545e+02,3.411890204748788165e+02,1.738470363112706352e+01
6.800000000000000000e+01,4.338563033652337708e+02,3.415561134384437878e+02,1.738301089282466450e+01
6.810000000000000853e+01,4.341957733797243009e+02,3.419232064020087591e+02,1.738131815452226192e+01
6.820000000000000284e+01,4.345352433942147172e+02,3.422902993655736736e+02,1.737962541621986645e+01
6.829999999999999716e+01,4.348747134087051336e+02,3.426573923291386450e+02,1.737793267791746388e+01
6.840000000000000568e+01,4.352141834231955499e+02,3.430244852927036163e+02,1.737623993961506486e+01
6.850000000000000000e+01,4.355536534376860232e+02,3.433915782562685308e+02,1.737454720131266583e+01
6.860000000000000853e+01,4.358931234521764964e+02,3.437586712198335590e+02,1.737285446301026681e+01
6.870000000000000284e+01,4.362325934666669127e+02,3.441257641833984735e+02,1.737116172470786779e+01
6.879999999999999716e+01,4.365720634811573291e+02,3.444928571469633880e+02,1.736946898640546877e+01
6.890000000000000568e+01,4.369115334956478023e+02,3.448599501105283593e+02,1.736777624810306975e+01
6.900000000000000000e+01,4.372510035101382186e+02,3.452270430740933307e+02,1.736608350980067073e+01
6.910000000000000853e+01,4.375904735246286918e+02,3.455941360376583020e+02,1.736439077149827170e+01
6.920000000000000284e+01,4.379299435391191082e+02,3.459612290012232165e+02,1.736269803319587268e+01
6.929999999999999716e+01,4.382694135536095246e+02,3.463283219647881310e+02,1.736100529489347366e+01
6.940000000000000568e+01,4.386088835680999978e+02,3.466954149283531024e+02,1.735931255659107464e+01
6.950000000000000000e+01,4.389483535825904710e+02,3.470625078919180737e+02,1.735761981828867562e+01
6.960000000000000853e+01,4.392878235970809442e+02,3.474296008554830451e+02,1.735592707998627660e+01
6.970000000000000284e+01,4.396272936115713037e+02,3.477966938190479596e+02,1.735423434168387757e+01
6.979999999999999716e+01,4.399667636260617769e+02,3.481637867826129309e+02,1.735254160338147855e+01
6.990000000000000568e+01,4.403062336405521933e+02,3.485308797461778454e+02,1.735084886507907953e+01
7.000000000000000000e+01,4.406457036550426665e+02,3.488979727097428167e+02,1.734915612677668051e+01
7.010000000000000853e+01,4.409851736695331397e+02,3.492650656733077881e+02,1.734746338847428149e+01
7.020000000000000284e+01,4.413246436840235560e+02,3.496321586368727026e+02,1.734577065017188247e+01
7.029999999999999716e+01,4.416641136985139724e+02,3.499992516004376739e+02,1.734407791186948344e+01
7.040000000000000568e+01,4.420035837130044456e+02,3.503663445640025884e+02,1.734238517356708442e+01
7.050000000000000000e+01,4.423430537274948620e+02,3.507334375275675598e+02,1.734069243526468540e+01
7.060000000000000853e+01,4.426825237419853352e+02,3.511005304911325311e+02,1.733899969696228638e+01
7.070000000000000284e+01,4.430219937564757515e+02,3.514676234546974456e+02,1.733730695865988736e+01
7.079999999999999716e+01,4.433614637709662247e+02,3.518347164182624169e+02,1.733561422035748834e+01
7.090000000000000568e+01,4.437009337854566411e+02,3.522018093818273883e+02,1.733392148205508931e+01
7.100000000000000000e+01,4.440404037999470575e+02,3.525689023453923028e+02,1.733222874375268674e+01
7.110000000000000853e+01,4.443798738144375875e+02,3.529359953089573310e+02,1.733053600545028772e+01
7.120000000000000284e+01,4.447193438289279470e+02,3.533030882725222455e+02,1.732884326714788870e+01
7.129999999999999716e+01,4.450588138434184202e+02,3.536701812360871600e+02,1.732715052884548967e+01
7.140000000000000568e+01,4.453982838579088366e+02,3.540372741996521313e+02,1.732545779054309065e+01
7.150000000000000000e+01,4.457377538723993098e+02,3.544043671632171026e+02,1.732376505224069163e+01
7.160000000000000853e+01,4.460772238868897830e+02,3.547714601267820740e+02,1.732207231393829261e+01
7.170000000000000284e+01,4.464166939013801993e+02,3.551385530903469885e+02,1.732037957563589359e+01
7.179999999999999716e+01,4.467561639158706157e+02,3.555056460539119030e+02,1.731868683733349457e+01
7.190000000000000568e+01,4.470956339303610321e+02,3.558727390174768743e+02,1.731699409903109554e+01
7.200000000000000000e+01,4.474351039448515053e+02,3.562398319810418457e+02,1.731530136072869652e+01
7.210000000000000853e+01,4.477745739593419785e+02,3.566069249446068170e+02,1.731360862242629750e+01
7.220000000000000284e+01,4.481140439738323948e+02,3.569740179081717315e+02,1.731191588412389848e+01
7.229999999999999716e+01,4.484535139883228112e+02,3.573411108717366460e+02,1.731022314582149946e+01
7.240000000000000568e+01,4.487929840028132844e+02,3.577082038353016173e+02,1.730853040751910044e+01
7.250000000000000000e+01,4.491324540173037008e+02,3.580752967988665887e+02,1.730683766921670141e+01
7.260000000000000853e+01,4.494719240317941740e+02,3.584423897624315600e+02,1.730514493091430239e+01
7.270000000000000284e+01,4.498113940462845903e+02,3.588094827259964745e+02,1.730345219261190337e+01
7.279999999999999716e+01,4.501508640607750635e+02,3.591765756895614459e+02,1.730175945430950435e+01
7.290000000000000568e+01,4.504903340752654799e+02,3.595436686531263604e+02,1.730006671600710533e+01
7.300000000000000000e+01,4.508298040897559531e+02,3.599107616166913317e+02,1.729837397770470631e+01
7.310000000000000853e+01,4.511692741042464263e+02,3.602778545802563031e+02,1.729668123940230728e+01
7.320000000000000284e+01,4.515087441187367858e+02,3.606449475438212176e+02,1.729498850109990826e+01
7.329999999999999716e+01,4.518482141332272590e+02,3.610120405073861889e+02,1.729329576279750924e+01
7.340000000000000568e+01,4.521876841477177322e+02,3.613791334709511602e+02,1.729160302449511022e+01
7.350000000000000000e+01,4.525271541622081486e+02,3.617462264345160747e+02,1.728991028619271120e+01
7.360000000000000853e+01,4.528666241766986218e+02,3.621133193980811029e+02,1.728821754789031218e+01
7.370000000000000284e+01,4.532060941911890382e+02,3.624804123616460174e+02,1.728652480958791315e+01
7.379999999999999716e+01,4.535455642056794545e+02,3.628475053252109319e+02,1.728483207128551413e+01
7.390000000000000568e+01,4.538850342201699277e+02,3.632145982887759033e+02,1.728313933298311156e+01
7.400000000000000000e+01,4.542245042346603441e+02,3.635816912523408746e+02,1.728144659468071254e+01
7.410000000000000853e+01,4.545639742491508173e+02,3.639487842159058459e+02,1.727975385637831351e+01
7.420000000000000284e+01,4.549034442636412336e+02,3.643158771794707604e+02,1.727806111807591449e+01
7.429999999999999716e+01,4.552429142781317069e+02,3.646829701430356749e+02,1.727636837977351547e+01
7.440000000000000568e+01,4.555823842926221232e+02,3.650500631066006463e+02,1.727467564147111645e+01
